name,team,bats,throws
kody funderburk,MIN,L,L
kohl drake,ARI,L,L
konnor griffin,PIT,R,R
kris bryant,COL,R,R
kris bubic,KC,L,L
kristian campbell,BOS,R,R
kumar rocker,TEX,R,R
kutter crawford,BOS,R,R
ky bush,CWS,L,L
kyle backhus,PHI,L,L
kyle bradish,BAL,R,R
kyle farmer,ATL,R,R
kyle finnegan,DET,R,R
kyle freeland,COL,L,L
kyle harrison,MIL,R,L
kyle hart,SD,L,L
kyle higashioka,TEX,R,R
kyle hurt,LAD,R,R
kyle isbel,KC,L,R
kyle karros,COL,R,R
kyle leahy,STL,S,R
kyle manzardo,CLE,L,R
kyle nicolas,CIN,R,R
kyle schwarber,PHI,L,R
kyle stowers,MIA,L,L
kyle teel,CWS,L,R
kyle tucker,LAD,L,R
kyren paris,LAA,R,R
lake bachar,MIA,R,R
lance mccullers jr,HOU,L,R
landen roupp,SF,R,R
landon knack,LAD,L,R
lane thomas,KC,R,R
lars nootbaar,STL,L,R
lawrence butler,ATH,L,R
lazaro estrada,TOR,R,R
leandro lopez,TEX,R,R
lenyn sosa,TOR,R,R
leo balcazar,CIN,R,R
leo bernal,STL,S,R
leo jimenez,MIA,R,R
leo rivas,SEA,S,R
leody taveras,BAL,S,R
liam hicks,MIA,L,R
logan allen,CLE,R,L
logan evans,SEA,R,R
logan gilbert,SEA,R,R
logan henderson,MIL,R,R
logan ohoppe,LAA,R,R
logan vanwey,HOU,R,R
logan webb,SF,R,R
lou trivino,BAL,R,R
louis varland,TOR,L,R
lourdes gurriel jr,ARI,R,R
lucas erceg,KC,L,R
lucas giolito,SD,R,R
luinder avila,KC,R,R
luis arraez,SF,L,R
luis campusano,SD,R,R
luis castillo,SEA,R,R
luis curvelo,TEX,R,R
luis garcia,MIN,R,R
luis garcia jr,WSH,L,R
luis gil,NYY,R,R
luis matos,MIL,R,R
luis medina,ATH,R,R
luis mey,CIN,R,R
luis morales,ATH,R,R
luis perales,WSH,R,R
luis peralta,COL,L,L
luis peralta,STL,L,L
luis rengifo,MIL,S,R
luis robert jr,NYM,R,R
luis severino,ATH,R,R
luis torrens,NYM,R,R
luisangel acuna,CWS,R,R
luke keaschall,MIN,R,R
luke little,CHC,L,L
luke raley,SEA,L,R
luke weaver,NYM,R,R
mackenzie gore,TEX,L,L
maikel garcia,KC,R,R
manny machado,SD,R,R
manuel rodriguez,TB,R,R
marc church,TEX,R,R
marcell ozuna,PIT,R,R
marcelo mayer,BOS,L,R
marco raya,MIN,R,R
marcus semien,NYM,R,R
mark leiter jr,ATH,R,R
mark vientos,NYM,R,R
martin perez,ATL,L,L
masataka yoshida,BOS,L,R
mason barnett,ATH,R,R
mason black,KC,R,R
mason englert,TB,S,R
mason fluharty,TOR,R,L
mason mccoy,SD,R,R
mason miller,SD,R,R
mason montgomery,PIT,L,L
masyn winn,STL,R,R
matt bowman,MIN,R,R
matt brash,SEA,R,R
matt chapman,SF,R,R
matt festa,CLE,R,R
matt gage,SF,L,L
matt mclain,CIN,R,R
matt mervis,WSH,L,R
matt olson,ATL,L,R
matt pushard,STL,R,R
matt shaw,CHC,R,R
matt strahm,KC,R,L
matt svanson,STL,R,R
matt vierling,DET,R,R
matt waldron,SD,R,R
matt wallner,MIN,L,R
matthew boyd,CHC,L,L
matthew liberatore,STL,L,L
matthew lugo,LAA,R,R
mauricio dubon,ATL,R,R
maverick handley,BAL,R,R
max fried,NYY,L,L
max kranick,WSH,R,R
max lazar,PHI,R,R
max meyer,MIA,L,R
max muncy,ATH,R,R
max muncy,LAD,R,R
max scherzer,TOR,R,R
max schuemann,NYY,R,R
maximo acosta,MIA,R,R
mccade brown,COL,R,R
merrill kelly,ARI,R,R
michael busch,CHC,L,R
michael conforto,CHC,L,R
michael grove,TB,R,R
michael harris ii,ATL,L,L
michael helman,TEX,R,R
michael kelly,ATH,R,R
michael king,SD,R,R
